
Nehemiah 
1:1	λόγοι Νεεμια υἱοῦ Αχαλια καὶ ἐγένετο ἐν μηνὶ Χασεηλου ἔτους εἰκοστοῦ καὶ ἐγὼ ἤμην ἐν Σουσαν αβιρα 
12:28	καὶ συνήχθησαν οἱ υἱοὶ τῶν ᾀδόντων καὶ ἀπὸ τῆς περιχώρου κυκλόθεν εἰς Ιερουσαλημ καὶ ἀπὸ ἐπαύλεων 
12:29	καὶ ἀπὸ ἀγρῶν ὅτι ἐπαύλεις ᾠκοδόμησαν ἑαυτοῖς οἱ ᾄδοντες ἐν Ιερουσαλημ 
12:30	καὶ ἐκαθαρίσθησαν οἱ ἱερεῖς καὶ οἱ Λευῖται καὶ ἐκαθάρισαν τὸν λαὸν καὶ τοὺς πυλωροὺς καὶ τὸ τεῖχος 
12:31	καὶ ἀνήνεγκα τοὺς ἄρχοντας Ιουδα ἐπάνω τοῦ τείχους καὶ ἔστησα δύο περὶ αἰνέσεως μεγάλους καὶ διῆλθον ἐκ δεξιῶν ἐπάνω τοῦ τείχους τῆς κοπρίας 
12:32	καὶ ἐπορεύθη ὀπίσω αὐτῶν Ωσαια καὶ ἥμισυ ἀρχόντων Ιουδα 
12:33	καὶ Αζαριας Εσδρας καὶ Μεσουλαμ 
12:34	Ιουδα καὶ Βενιαμιν καὶ Σαμαια καὶ Ιερμια 
12:35	καὶ ἀπὸ υἱῶν τῶν ἱερέων ἐν σάλπιγξιν Ζαχαριας υἱὸς Ιωναθαν υἱὸς Σαμαια υἱὸς Μαθανια υἱὸς Μιχαια υἱὸς Ζακχουρ υἱὸς Ασαφ 
12:36	καὶ ἀδελφοὶ αὐτοῦ Σαμαια καὶ Οζιηλ αἰνεῖν ἐν ᾠδαῖς Δαυιδ ἀνθρώπου τοῦ θεοῦ καὶ Εσδρας ὁ γραμματεὺς ἔμπροσθεν αὐτῶν 
12:37	ἐπὶ πύλης τοῦ αιν κατέναντι αὐτῶν ἀνέβησαν ἐπὶ κλίμακας πόλεως Δαυιδ ἐν ἀναβάσει τοῦ τείχους ἐπάνωθεν τοῦ οἴκου Δαυιδ καὶ ἕως πύλης τοῦ ὕδατος κατὰ ἀνατολάς 
12:38	καὶ περὶ αἰνέσεως ἡ δευτέρα ἐπορεύετο συναντῶσα αὐτοῖς καὶ ἐγὼ ὀπίσω αὐτῆς καὶ τὸ ἥμισυ τοῦ λαοῦ ἐπάνω τοῦ τείχους ὑπεράνω τοῦ πύργου τῶν θεννουριμ καὶ ἕως τοῦ τείχους τοῦ πλατέος 
12:39	καὶ ὑπεράνω τῆς πύλης Εφραιμ καὶ ἐπὶ πύλην τῆς ισανα καὶ ἐπὶ πύλην τὴν ἰχθυηρὰν καὶ πύργῳ Ανανεηλ καὶ ἕως πύλης τῆς προβατικῆς καὶ ἔστησαν ἐν πύλῃ τῆς φυλακῆς 
12:40	καὶ ἔστησαν αἱ δύο τῆς αἰνέσεως ἐν οἴκῳ τοῦ θεοῦ καὶ ἐγὼ καὶ τὸ ἥμισυ τῶν στρατηγῶν μετ᾽ ἐμοῦ 
12:41	καὶ οἱ ἱερεῖς Ελιακιμ Μαασιας Βενιαμιν Μιχαιας Ελιωηναι Ζαχαριας Ανανιας ἐν σάλπιγξιν 
12:42	καὶ Μαασιας καὶ Σεμειας καὶ Ελεαζαρ καὶ Οζι καὶ Ιωαναν καὶ Μελχιας καὶ Αιλαμ καὶ Εζουρ καὶ ἠκούσθησαν οἱ ᾄδοντες καὶ ἐπεσκέπησαν 
12:43	καὶ ἔθυσαν ἐν τῇ ἡμέρᾳ ἐκείνῃ θυσιάσματα μεγάλα καὶ ηὐφράνθησαν ὅτι ὁ θεὸς ηὔφρανεν αὐτοὺς μεγάλως καὶ αἱ γυναῖκες αὐτῶν καὶ τὰ τέκνα αὐτῶν ηὐφράνθησαν καὶ ἠκούσθη ἡ εὐφροσύνη ἐν Ιερουσαλημ ἀπὸ μακρόθεν 
12:44	καὶ κατέστησαν ἐν τῇ ἡμέρᾳ ἐκείνῃ ἄνδρας ἐπὶ τῶν γαζοφυλακίων τοῖς θησαυροῖς ταῖς ἀπαρχαῖς καὶ ταῖς δεκάταις καὶ τοῖς συνηγμένοις ἐν αὐτοῖς ἄρχουσιν τῶν πόλεων μερίδας τοῖς ἱερεῦσι καὶ τοῖς Λευίταις ὅτι εὐφροσύνη ἦν ἐν Ιουδα ἐπὶ τοὺς ἱερεῖς καὶ ἐπὶ τοὺς Λευίτας τοὺς ἑστῶτας 
12:45	καὶ ἐφύλαξαν φυλακὰς θεοῦ αὐτῶν καὶ φυλακὰς τοῦ καθαρισμοῦ καὶ τοὺς ᾄδοντας καὶ τοὺς πυλωροὺς ὡς ἐντολαὶ Δαυιδ καὶ Σαλωμων υἱοῦ αὐτοῦ 
12:46	ὅτι ἐν ἡμέραις Δαυιδ Ασαφ ἀπ᾽ ἀρχῆς πρῶτος τῶν ᾀδόντων καὶ ὕμνον καὶ αἴνεσιν τῷ θεῷ 
12:47	καὶ πᾶς Ισραηλ ἐν ἡμέραις Ζοροβαβελ διδόντες μερίδας τῶν ᾀδόντων καὶ τῶν πυλωρῶν λόγον ἡμέρας ἐν ἡμέρᾳ αὐτοῦ καὶ ἁγιάζοντες τοῖς Λευίταις καὶ οἱ Λευῖται ἁγιάζοντες τοῖς υἱοῖς Ααρων 
13:1	ἐν τῇ ἡμέρᾳ ἐκείνῃ ἀνεγνώσθη ἐν βιβλίῳ Μωυσῆ ἐν ὠσὶν τοῦ λαοῦ καὶ εὑρέθη γεγραμμένον ἐν αὐτῷ ὅπως μὴ εἰσέλθωσιν Αμμανῖται καὶ Μωαβῖται ἐν ἐκκλησίᾳ θεοῦ ἕως αἰῶνος 
13:2	ὅτι οὐ συνήντησαν τοῖς υἱοῖς Ισραηλ ἐν ἄρτῳ καὶ ἐν ὕδατι καὶ ἐμισθώσαντο ἐπ᾽ αὐτὸν τὸν Βαλααμ καταράσασθαι καὶ ἔστρεψεν ὁ θεὸς ἡμῶν τὴν κατάραν εἰς εὐλογίαν 
13:3	καὶ ἐγένετο ὡς ἤκουσαν τὸν νόμον καὶ ἐχωρίσθησαν πᾶς ἐπίμικτος ἐν Ισραηλ 
13:4	καὶ πρὸ τούτου Ελιασιβ ὁ ἱερεὺς οἰκῶν ἐν γαζοφυλακίῳ οἴκου θεοῦ ἡμῶν ἐγγίων Τωβια 
13:5	καὶ ἐποίησεν αὐτῷ γαζοφυλάκιον μέγα καὶ ἐκεῖ ἦσαν πρότερον διδόντες τὴν μανααν καὶ τὸν λίβανον καὶ τὰ σκεύη καὶ τὴν δεκάτην τοῦ σίτου καὶ τοῦ οἴνου καὶ τοῦ ἐλαίου ἐντολὴν τῶν Λευιτῶν καὶ τῶν ᾀδόντων καὶ τῶν πυλωρῶν καὶ ἀπαρχὰς τῶν ἱερέων 
13:6	καὶ ἐν παντὶ τούτῳ οὐκ ἤμην ἐν Ιερουσαλημ ὅτι ἐν ἔτει τριακοστῷ καὶ δευτέρῳ τοῦ Αρθασασθα βασιλέως Βαβυλῶνος ἦλθον πρὸς τὸν βασιλέα καὶ μετὰ τέλος ἡμερῶν ᾐτησάμην παρὰ τοῦ βασιλέως 
13:7	καὶ ἦλθον εἰς Ιερουσαλημ καὶ συνῆκα ἐν τῇ πονηρίᾳ ᾗ ἐποίησεν Ελισουβ τῷ Τωβια ποιῆσαι αὐτῷ γαζοφυλάκιον ἐν αὐλῇ οἴκου τοῦ θεοῦ 
13:8	καὶ πονηρόν μοι ἐφάνη σφόδρα καὶ ἔρριψα πάντα τὰ σκεύη οἴκου Τωβια ἔξω ἀπὸ τοῦ γαζοφυλακίου 
13:9	καὶ εἶπα καὶ ἐκαθάρισαν τὰ γαζοφυλάκια καὶ ἐπέστρεψα ἐκεῖ σκεύη οἴκου τοῦ θεοῦ τὴν μαναα καὶ τὸν λίβανον 
13:10	καὶ ἔγνων ὅτι μερίδες τῶν Λευιτῶν οὐκ ἐδόθησαν καὶ ἐφύγοσαν ἀνὴρ εἰς ἀγρὸν αὐτοῦ οἱ Λευῖται καὶ οἱ ᾄδοντες ποιοῦντες τὸ ἔργον 
13:11	καὶ ἐμαχεσάμην τοῖς στρατηγοῖς καὶ εἶπα διὰ τί ἐγκατελείφθη ὁ οἶκος τοῦ θεοῦ καὶ συνήγαγον αὐτοὺς καὶ ἔστησα αὐτοὺς ἐπὶ τῇ στάσει αὐτῶν 
13:12	καὶ πᾶς Ιουδα ἤνεγκαν δεκάτην τοῦ πυροῦ καὶ τοῦ οἴνου καὶ τοῦ ἐλαίου εἰς τοὺς θησαυροὺς 
13:13	ἐπὶ χεῖρα Σελεμια τοῦ ἱερέως καὶ Σαδδουκ τοῦ γραμματέως καὶ Φαδαια ἀπὸ τῶν Λευιτῶν καὶ ἐπὶ χεῖρα αὐτῶν Αναν υἱὸς Ζακχουρ υἱὸς Μαθανια ὅτι πιστοὶ ἐλογίσθησαν ἐπ᾽ αὐτοὺς μερίζειν τοῖς ἀδελφοῖς αὐτῶν 
13:14	μνήσθητί μου ὁ θεός ἐν ταύτῃ καὶ μὴ ἐξαλειφθήτω ἔλεός μου ὃ ἐποίησα ἐν οἴκῳ κυρίου τοῦ θεοῦ 
13:15	ἐν ταῖς ἡμέραις ἐκείναις εἶδον ἐν Ιουδα πατοῦντας ληνοὺς ἐν τῷ σαββάτῳ καὶ φέροντας δράγματα καὶ ἐπιγεμίζοντας ἐπὶ τοὺς ὄνους καὶ οἶνον καὶ σταφυλὴν καὶ σῦκα καὶ πᾶν βάσταγμα καὶ φέροντας εἰς Ιερουσαλημ ἐν ἡμέρᾳ τοῦ σαββάτου καὶ ἐπεμαρτυράμην ἐν ἡμέρᾳ πράσεως αὐτῶν 
13:16	καὶ ἐκάθισαν ἐν αὐτῇ φέροντες ἰχθὺν καὶ πᾶσαν πρᾶσιν πωλοῦντες ἐν τῷ σαββάτῳ τοῖς υἱοῖς Ιουδα καὶ ἐν Ιερουσαλημ 
13:17	καὶ ἐμαχεσάμην τοῖς υἱοῖς Ιουδα τοῖς ἐλευθέροις καὶ εἶπα αὐτοῖς τίς ὁ λόγος οὗτος ὁ πονηρός ὃν ὑμεῖς ποιεῖτε καὶ βεβηλοῦτε τὴν ἡμέραν τοῦ σαββάτου 
13:18	οὐχὶ οὕτως ἐποίησαν οἱ πατέρες ὑμῶν καὶ ἤνεγκεν ἐπ᾽ αὐτοὺς ὁ θεὸς ἡμῶν καὶ ἐφ᾽ ἡμᾶς πάντα τὰ κακὰ ταῦτα καὶ ἐπὶ τὴν πόλιν ταύτην καὶ ὑμεῖς προστίθετε ὀργὴν ἐπὶ Ισραηλ βεβηλῶσαι τὸ σάββατον 
13:19	καὶ ἐγένετο ἡνίκα κατέστησαν πύλαι Ιερουσαλημ πρὸ τοῦ σαββάτου καὶ εἶπα καὶ ἔκλεισαν τὰς πύλας καὶ εἶπα ὥστε μὴ ἀνοιγῆναι αὐτὰς ἕως ὀπίσω τοῦ σαββάτου καὶ ἐκ τῶν παιδαρίων μου ἔστησα ἐπὶ τὰς πύλας ὥστε μὴ αἴρειν βαστάγματα ἐν ἡμέρᾳ τοῦ σαββάτου 
13:20	καὶ ηὐλίσθησαν πάντες καὶ ἐποίησαν πρᾶσιν ἔξω Ιερουσαλημ ἅπαξ καὶ δίς 
13:21	καὶ διεμαρτυράμην ἐν αὐτοῖς καὶ εἶπα πρὸς αὐτούς διὰ τί ὑμεῖς αὐλίζεσθε ἀπέναντι τοῦ τείχους ἐὰν δευτερώσητε ἐκτενῶ τὴν χεῖρά μου ἐν ὑμῖν ἀπὸ τοῦ καιροῦ ἐκείνου οὐκ ἤλθοσαν ἐν σαββάτῳ 
13:22	καὶ εἶπα τοῖς Λευίταις οἳ ἦσαν καθαριζόμενοι καὶ ἐρχόμενοι φυλάσσοντες τὰς πύλας ἁγιάζειν τὴν ἡμέραν τοῦ σαββάτου πρὸς ταῦτα μνήσθητί μου ὁ θεός καὶ φεῖσαί μου κατὰ τὸ πλῆθος τοῦ ἐλέους σου 
13:23	καὶ ἐν ταῖς ἡμέραις ἐκείναις εἶδον τοὺς Ιουδαίους οἳ ἐκάθισαν γυναῖκας Ἀζωτίας Αμμανίτιδας Μωαβίτιδας 
13:24	καὶ οἱ υἱοὶ αὐτῶν ἥμισυ λαλοῦντες Ἀζωτιστὶ καὶ οὔκ εἰσιν ἐπιγινώσκοντες λαλεῖν Ιουδαϊστί 
13:25	καὶ ἐμαχεσάμην μετ᾽ αὐτῶν καὶ κατηρασάμην αὐτοὺς καὶ ἐπάταξα ἐν αὐτοῖς ἄνδρας καὶ ἐμαδάρωσα αὐτοὺς καὶ ὥρκισα αὐτοὺς ἐν τῷ θεῷ ἐὰν δῶτε τὰς θυγατέρας ὑμῶν τοῖς υἱοῖς αὐτῶν καὶ ἐὰν λάβητε ἀπὸ τῶν θυγατέρων αὐτῶν τοῖς υἱοῖς ὑμῶν 
13:26	οὐχ οὕτως ἥμαρτεν Σαλωμων βασιλεὺς Ισραηλ καὶ ἐν ἔθνεσιν πολλοῖς οὐκ ἦν βασιλεὺς ὅμοιος αὐτῷ καὶ ἀγαπώμενος τῷ θεῷ ἦν καὶ ἔδωκεν αὐτὸν ὁ θεὸς εἰς βασιλέα ἐπὶ πάντα Ισραηλ καὶ τοῦτον ἐξέκλιναν αἱ γυναῖκες αἱ ἀλλότριαι 
13:27	καὶ ὑμῶν μὴ ἀκουσόμεθα ποιῆσαι τὴν πᾶσαν πονηρίαν ταύτην ἀσυνθετῆσαι ἐν τῷ θεῷ ἡμῶν καθίσαι γυναῖκας ἀλλοτρίας 
13:28	καὶ ἀπὸ υἱῶν Ιωαδα τοῦ Ελισουβ τοῦ ἱερέως τοῦ μεγάλου νυμφίου τοῦ Σαναβαλλατ τοῦ Ωρωνίτου καὶ ἐξέβρασα αὐτὸν ἀπ᾽ ἐμοῦ 
13:29	μνήσθητι αὐτοῖς ὁ θεός ἐπὶ ἀγχιστείᾳ τῆς ἱερατείας καὶ διαθήκης τῆς ἱερατείας καὶ τοὺς Λευίτας 
13:30	καὶ ἐκαθάρισα αὐτοὺς ἀπὸ πάσης ἀλλοτριώσεως καὶ ἔστησα ἐφημερίας τοῖς ἱερεῦσιν καὶ τοῖς Λευίταις ἀνὴρ ὡς τὸ ἔργον αὐτοῦ 
13:31	καὶ τὸ δῶρον τῶν ξυλοφόρων ἐν καιροῖς ἀπὸ χρόνων καὶ ἐν τοῖς βακχουρίοις μνήσθητί μου ὁ θεὸς ἡμῶν εἰς ἀγαθωσύνην 
