‎Genesis 
1:1	ἐν ἀρχῇ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν 
47:1	ἐπὶ τοὺς ἀλλοφύλους 
47:2	τάδε λέγει κύριος ἰδοὺ ὕδατα ἀναβαίνει ἀπὸ βορρᾶ καὶ ἔσται εἰς χειμάρρουν κατακλύζοντα καὶ κατακλύσει γῆν καὶ τὸ πλήρωμα αὐτῆς πόλιν καὶ τοὺς κατοικοῦντας ἐν αὐτῇ καὶ κεκράξονται οἱ ἄνθρωποι καὶ ἀλαλάξουσιν ἅπαντες οἱ κατοικοῦντες τὴν γῆν 
47:3	ἀπὸ φωνῆς ὁρμῆς αὐτοῦ ἀπὸ τῶν ὁπλῶν τῶν ποδῶν αὐτοῦ καὶ ἀπὸ σεισμοῦ τῶν ἁρμάτων αὐτοῦ ἤχου τροχῶν αὐτοῦ οὐκ ἐπέστρεψαν πατέρες ἐφ᾽ υἱοὺς αὐτῶν ἀπὸ ἐκλύσεως χειρῶν αὐτῶν 
47:4	ἐν τῇ ἡμέρᾳ τῇ ἐρχομένῃ τοῦ ἀπολέσαι πάντας τοὺς ἀλλοφύλους καὶ ἀφανιῶ τὴν Τύρον καὶ τὴν Σιδῶνα καὶ πάντας τοὺς καταλοίπους τῆς βοηθείας αὐτῶν ὅτι ἐξολεθρεύσει κύριος τοὺς καταλοίπους τῶν νήσων 
47:5	ἥκει φαλάκρωμα ἐπὶ Γάζαν ἀπερρίφη Ἀσκαλὼν καὶ οἱ κατάλοιποι Ενακιμ ἕως τίνος κόψεις 
47:6	ἡ μάχαιρα τοῦ κυρίου ἕως τίνος οὐχ ἡσυχάσεις ἀποκατάστηθι εἰς τὸν κολεόν σου ἀνάπαυσαι καὶ ἐπάρθητι 
47:7	πῶς ἡσυχάσει καὶ κύριος ἐνετείλατο αὐτῇ ἐπὶ τὴν Ἀσκαλῶνα καὶ ἐπὶ τὰς παραθαλασσίους ἐπὶ τὰς καταλοίπους ἐπεγερθῆναι 
48:1	τῇ Μωαβ οὕτως εἶπεν κύριος οὐαὶ ἐπὶ Ναβαυ ὅτι ὤλετο ἐλήμφθη Καριαθαιμ ᾐσχύνθη Αμαθ καὶ ἡττήθη 
48:2	οὐκ ἔστιν ἔτι ἰατρεία Μωαβ ἀγαυρίαμα ἐν Εσεβων ἐλογίσαντο ἐπ᾽ αὐτὴν κακά ἐκόψαμεν αὐτὴν ἀπὸ ἔθνους καὶ παῦσιν παύσεται ὄπισθέν σου βαδιεῖται μάχαιρα 
48:3	ὅτι φωνὴ κεκραγότων ἐξ Ωρωναιμ ὄλεθρος καὶ σύντριμμα μέγα 
48:4	συνετρίβη Μωαβ ἀναγγείλατε εἰς Ζογορα 
48:5	ὅτι ἐπλήσθη Αλαωθ ἐν κλαυθμῷ ἀναβήσεται κλαίων ἐν ὁδῷ Ωρωναιμ κραυγὴν συντρίμματος ἠκούσατε 
48:6	φεύγετε καὶ σώσατε τὰς ψυχὰς ὑμῶν καὶ ἔσεσθε ὥσπερ ὄνος ἄγριος ἐν ἐρήμῳ 
48:7	ἐπειδὴ ἐπεποίθεις ἐν ὀχυρώμασίν σου καὶ σὺ συλλημφθήσῃ καὶ ἐξελεύσεται Χαμως ἐν ἀποικίᾳ οἱ ἱερεῖς αὐτοῦ καὶ οἱ ἄρχοντες αὐτοῦ ἅμα 
48:8	καὶ ἥξει ὄλεθρος ἐπὶ πᾶσαν πόλιν καὶ πόλις οὐ μὴ σωθῇ καὶ ἀπολεῖται ὁ αὐλών καὶ ἐξολεθρευθήσεται ἡ πεδινή καθὼς εἶπεν κύριος 
48:9	δότε σημεῖα τῇ Μωαβ ὅτι ἁφῇ ἀναφθήσεται καὶ πᾶσαι αἱ πόλεις αὐτῆς εἰς ἄβατον ἔσονται πόθεν ἔνοικος αὐτῇ 
48:10	ἐπικατάρατος ὁ ποιῶν τὰ ἔργα κυρίου ἀμελῶς ἐξαίρων μάχαιραν αὐτοῦ ἀφ᾽ αἵματος 
48:11	ἀνεπαύσατο Μωαβ ἐκ παιδαρίου καὶ πεποιθὼς ἦν ἐπὶ τῇ δόξῃ αὐτοῦ οὐκ ἐνέχεεν ἐξ ἀγγείου εἰς ἀγγεῖον καὶ εἰς ἀποικισμὸν οὐκ ᾤχετο διὰ τοῦτο ἔστη γεῦμα αὐτοῦ ἐν αὐτῷ καὶ ὀσμὴ αὐτοῦ οὐκ ἐξέλιπεν 
48:12	διὰ τοῦτο ἰδοὺ ἡμέραι ἔρχονται φησὶν κύριος καὶ ἀποστελῶ αὐτῷ κλίνοντας καὶ κλινοῦσιν αὐτὸν καὶ τὰ σκεύη αὐτοῦ λεπτυνοῦσιν καὶ τὰ κέρατα αὐτοῦ συγκόψουσιν 
48:13	καὶ καταισχυνθήσεται Μωαβ ἀπὸ Χαμως ὥσπερ κατῃσχύνθη οἶκος Ισραηλ ἀπὸ Βαιθηλ ἐλπίδος αὐτῶν πεποιθότες ἐπ᾽ αὐτοῖς 
48:14	πῶς ἐρεῖτε ἰσχυροί ἐσμεν καὶ ἄνθρωπος ἰσχύων εἰς τὰ πολεμικά 
48:15	ὤλετο Μωαβ πόλις αὐτοῦ καὶ ἐκλεκτοὶ νεανίσκοι αὐτοῦ κατέβησαν εἰς σφαγήν 
48:16	ἐγγὺς ἡμέρα Μωαβ ἐλθεῖν καὶ πονηρία αὐτοῦ ταχεῖα σφόδρα 
48:17	κινήσατε αὐτῷ πάντες κυκλόθεν αὐτοῦ πάντες εἰδότες ὄνομα αὐτοῦ εἴπατε πῶς συνετρίβη βακτηρία εὐκλεής ῥάβδος μεγαλώματος 
48:18	κατάβηθι ἀπὸ δόξης καὶ κάθισον ἐν ὑγρασίᾳ καθημένη Δαιβων ἐκτρίβητε ὅτι ὤλετο Μωαβ ἀνέβη εἰς σὲ λυμαινόμενος ὀχύρωμά σου 
48:19	ἐφ᾽ ὁδοῦ στῆθι καὶ ἔπιδε καθημένη ἐν Αροηρ καὶ ἐρώτησον φεύγοντα καὶ σῳζόμενον καὶ εἰπόν τί ἐγένετο 
48:20	κατῃσχύνθη Μωαβ ὅτι συνετρίβη ὀλόλυξον καὶ κέκραξον ἀνάγγειλον ἐν Αρνων ὅτι ὤλετο Μωαβ 
48:21	καὶ κρίσις ἔρχεται εἰς γῆν τοῦ Μισωρ ἐπὶ Χαιλων καὶ ἐπὶ Ιασσα καὶ ἐπὶ Μωφαθ 
48:22	καὶ ἐπὶ Δαιβων καὶ ἐπὶ Ναβαυ καὶ ἐπ᾽ οἶκον Δεβλαθαιμ 
48:23	καὶ ἐπὶ Καριαθαιμ καὶ ἐπ᾽ οἶκον Γαμωλ καὶ ἐπ᾽ οἶκον Μαων 
48:24	καὶ ἐπὶ Καριωθ καὶ ἐπὶ Βοσορ καὶ ἐπὶ πάσας τὰς πόλεις Μωαβ τὰς πόρρω καὶ τὰς ἐγγύς 
48:25	κατεάχθη κέρας Μωαβ καὶ τὸ ἐπίχειρον αὐτοῦ συνετρίβη 
48:26	μεθύσατε αὐτόν ὅτι ἐπὶ κύριον ἐμεγαλύνθη καὶ ἐπικρούσει Μωαβ ἐν χειρὶ αὐτοῦ καὶ ἔσται εἰς γέλωτα καὶ αὐτός 
48:27	καὶ εἰ μὴ εἰς γελοιασμὸν ἦν σοι Ισραηλ εἰ ἐν κλοπαῖς σου εὑρέθη ὅτι ἐπολέμεις αὐτόν 
48:28	κατέλιπον τὰς πόλεις καὶ ᾤκησαν ἐν πέτραις οἱ κατοικοῦντες Μωαβ ἐγενήθησαν ὡς περιστεραὶ νοσσεύουσαι ἐν πέτραις στόματι βοθύνου 
48:29	ἤκουσα ὕβριν Μωαβ ὕβρισεν λίαν ὕβριν αὐτοῦ καὶ ὑπερηφανίαν αὐτοῦ καὶ ὑψώθη ἡ καρδία αὐτοῦ 
48:30	ἐγὼ δὲ ἔγνων ἔργα αὐτοῦ οὐχὶ τὸ ἱκανὸν αὐτοῦ οὐχ οὕτως ἐποίησεν 
48:31	διὰ τοῦτο ἐπὶ Μωαβ ὀλολύζετε πάντοθεν βοήσατε ἐπ᾽ ἄνδρας Κιραδας αὐχμοῦ 
48:32	ὡς κλαυθμὸν Ιαζηρ ἀποκλαύσομαί σοι ἄμπελος Σεβημα κλήματά σου διῆλθεν θάλασσαν Ιαζηρ ἥψαντο ἐπὶ ὀπώραν σου ἐπὶ τρυγηταῖς σου ὄλεθρος ἐπέπεσεν 
48:33	συνεψήσθη χαρμοσύνη καὶ εὐφροσύνη ἐκ τῆς Μωαβίτιδος καὶ οἶνος ἦν ἐπὶ ληνοῖς σου πρωὶ οὐκ ἐπάτησαν οὐδὲ δείλης οὐκ ἐποίησαν αιδαδ 
48:34	ἀπὸ κραυγῆς Εσεβων ἕως Ελεαλη αἱ πόλεις αὐτῶν ἔδωκαν φωνὴν αὐτῶν ἀπὸ Ζογορ ἕως Ωρωναιμ καὶ Αγλαθ-σαλισια ὅτι καὶ τὸ ὕδωρ Νεβριμ εἰς κατάκαυμα ἔσται 
48:35	καὶ ἀπολῶ τὸν Μωαβ φησὶν κύριος ἀναβαίνοντα ἐπὶ βωμὸν καὶ θυμιῶντα θεοῖς αὐτοῦ 
48:36	διὰ τοῦτο καρδία μου Μωαβ ὥσπερ αὐλοὶ βομβήσουσιν καρδία μου ἐπ᾽ ἀνθρώπους Κιραδας ὥσπερ αὐλὸς βομβήσει διὰ τοῦτο ἃ περιεποιήσατο ἀπώλετο ἀπὸ ἀνθρώπου 
48:37	πᾶσαν κεφαλὴν ἐν παντὶ τόπῳ ξυρήσονται καὶ πᾶς πώγων ξυρηθήσεται καὶ πᾶσαι χεῖρες κόψονται καὶ ἐπὶ πάσης ὀσφύος σάκκος 
48:38	καὶ ἐπὶ πάντων τῶν δωμάτων Μωαβ καὶ ἐπὶ πλατείαις αὐτῆς ὅτι συνέτριψα τὸν Μωαβ φησὶν κύριος ὡς ἀγγεῖον οὗ οὐκ ἔστιν χρεία αὐτοῦ 
48:39	πῶς κατήλλαξεν πῶς ἔστρεψεν νῶτον Μωαβ ᾐσχύνθη καὶ ἐγένετο Μωαβ εἰς γέλωτα καὶ ἐγκότημα πᾶσιν τοῖς κύκλῳ αὐτῆς 
48:40	ὅτι οὕτως εἶπεν κύριος 
48:41	ἐλήμφθη Ακκαριωθ καὶ τὰ ὀχυρώματα συνελήμφθη 
48:42	καὶ ἀπολεῖται Μωαβ ἀπὸ ὄχλου ὅτι ἐπὶ τὸν κύριον ἐμεγαλύνθη 
48:43	παγὶς καὶ φόβος καὶ βόθυνος ἐπὶ σοί καθήμενος Μωαβ 
48:44	ὁ φεύγων ἀπὸ προσώπου τοῦ φόβου ἐμπεσεῖται εἰς τὸν βόθυνον καὶ ὁ ἀναβαίνων ἐκ τοῦ βοθύνου συλλημφθήσεται ἐν τῇ παγίδι ὅτι ἐπάξω ταῦτα ἐπὶ Μωαβ ἐν ἐνιαυτῷ ἐπισκέψεως αὐτῆς 
48:45	Στη σκιά του απολογισμού στάθηκαν με τη δύναμη των θαυμάτων, καθώς ένα πνεύμα βγήκε από τον απολογισμό και μια φλόγα τύλιξε τον Σιχών και καταβρόχθισε τα μαλλιά του Μωάβ και των παιδιών του Σαών. 
48:46	Αλίμονο σε σένα, ο Μωάβ χάθηκε με τον Χεμώς, καθώς οι γιοι σου αιχμαλωτίστηκαν και οι κόρες σου αιχμαλωτίστηκαν 
48:47	Και το Σάββατο της Βηθμοάβ στο τέλος των ημερών Namihova Adhana Mishpat Moab s 
49:1	τοῖς υἱοῖς Αμμων οὕτως εἶπεν κύριος μὴ υἱοὶ οὔκ εἰσιν ἐν Ισραηλ ἢ παραλημψόμενος οὐκ ἔστιν αὐτοῖς διὰ τί παρέλαβεν Μελχομ τὸν Γαδ καὶ ὁ λαὸς αὐτῶν ἐν πόλεσιν αὐτῶν ἐνοικήσει 
49:2	διὰ τοῦτο ἰδοὺ ἡμέραι ἔρχονται φησὶν κύριος καὶ ἀκουτιῶ ἐπὶ Ραββαθ θόρυβον πολέμων καὶ ἔσονται εἰς ἄβατον καὶ εἰς ἀπώλειαν καὶ βωμοὶ αὐτῆς ἐν πυρὶ κατακαυθήσονται καὶ παραλήμψεται Ισραηλ τὴν ἀρχὴν αὐτοῦ 
49:3	ἀλάλαξον Εσεβων ὅτι ὤλετο Γαι κεκράξατε θυγατέρες Ραββαθ περιζώσασθε σάκκους καὶ ἐπιλημπτεύσασθε καὶ κόψασθε ἐπὶ Μελχομ ὅτι ἐν ἀποικίᾳ βαδιεῖται οἱ ἱερεῖς αὐτοῦ καὶ οἱ ἄρχοντες αὐτοῦ ἅμα 
49:4	τί ἀγαλλιάσῃ ἐν τοῖς πεδίοις Ενακιμ θύγατερ ἰταμίας ἡ πεποιθυῖα ἐπὶ θησαυροῖς αὐτῆς ἡ λέγουσα τίς εἰσελεύσεται ἐπ᾽ ἐμέ 
49:5	ἰδοὺ ἐγὼ φέρω φόβον ἐπὶ σέ εἶπεν κύριος ἀπὸ πάσης τῆς περιοίκου σου καὶ διασπαρήσεσθε ἕκαστος εἰς πρόσωπον αὐτοῦ καὶ οὐκ ἔσται ὁ συνάγων 
49:6	Και τότε θα απαντήσω στις προσευχές στο Παιδιά του Αμμών, λέει ο Ιεχωβά 
49:7	τῇ Ιδουμαίᾳ τάδε λέγει κύριος οὐκ ἔστιν ἔτι σοφία ἐν Θαιμαν ἀπώλετο βουλὴ ἐκ συνετῶν ὤχετο σοφία αὐτῶν 
49:8	ἠπατήθη ὁ τόπος αὐτῶν βαθύνατε εἰς κάθισιν οἱ κατοικοῦντες ἐν Δαιδαν ὅτι δύσκολα ἐποίησεν ἤγαγον ἐπ᾽ αὐτὸν ἐν χρόνῳ ᾧ ἐπεσκεψάμην ἐπ᾽ αὐτόν 
49:9	ὅτι τρυγηταὶ ἦλθόν σοι οὐ καταλείψουσίν σοι καταλείμματα ὡς κλέπται ἐν νυκτὶ ἐπιθήσουσιν χεῖρα αὐτῶν 
49:10	ὅτι ἐγὼ κατέσυρα τὸν Ησαυ ἀνεκάλυψα τὰ κρυπτὰ αὐτῶν κρυβῆναι οὐ μὴ δύνωνται ὤλοντο διὰ χεῖρα ἀδελφοῦ αὐτοῦ καὶ γείτονος αὐτοῦ καὶ οὐκ ἔστιν 
49:11	ὑπολείπεσθαι ὀρφανόν σου ἵνα ζήσηται καὶ ἐγὼ ζήσομαι καὶ χῆραι ἐπ᾽ ἐμὲ πεποίθασιν 
49:12	ὅτι τάδε εἶπεν κύριος οἷς οὐκ ἦν νόμος πιεῖν τὸ ποτήριον ἔπιον καὶ σὺ ἀθῳωμένη οὐ μὴ ἀθῳωθῇς ὅτι πίνων πίεσαι 
49:13	ὅτι κατ᾽ ἐμαυτοῦ ὤμοσα λέγει κύριος ὅτι εἰς ἄβατον καὶ εἰς ὀνειδισμὸν καὶ εἰς κατάρασιν ἔσῃ ἐν μέσῳ αὐτῆς καὶ πᾶσαι αἱ πόλεις αὐτῆς ἔσονται ἔρημοι εἰς αἰῶνα 
49:14	ἀκοὴν ἤκουσα παρὰ κυρίου καὶ ἀγγέλους εἰς ἔθνη ἀπέστειλεν συνάχθητε καὶ παραγένεσθε εἰς αὐτήν ἀνάστητε εἰς πόλεμον 
49:15	μικρὸν ἔδωκά σε ἐν ἔθνεσιν εὐκαταφρόνητον ἐν ἀνθρώποις 
49:16	ἡ παιγνία σου ἐνεχείρησέν σοι ἰταμία καρδίας σου κατέλυσεν τρυμαλιὰς πετρῶν συνέλαβεν ἰσχὺν βουνοῦ ὑψηλοῦ ὅτι ὕψωσεν ὥσπερ ἀετὸς νοσσιὰν αὐτοῦ ἐκεῖθεν καθελῶ σε 
49:17	καὶ ἔσται ἡ Ιδουμαία εἰς ἄβατον πᾶς ὁ παραπορευόμενος ἐπ᾽ αὐτὴν συριεῖ 
49:18	ὥσπερ κατεστράφη Σοδομα καὶ Γομορρα καὶ αἱ πάροικοι αὐτῆς εἶπεν κύριος παντοκράτωρ οὐ μὴ καθίσῃ ἐκεῖ ἄνθρωπος καὶ οὐ μὴ ἐνοικήσῃ ἐκεῖ υἱὸς ἀνθρώπου 
49:19	ἰδοὺ ὥσπερ λέων ἀναβήσεται ἐκ μέσου τοῦ Ιορδάνου εἰς τόπον Αιθαμ ὅτι ταχὺ ἐκδιώξω αὐτοὺς ἀπ᾽ αὐτῆς καὶ τοὺς νεανίσκους ἐπ᾽ αὐτὴν ἐπιστήσατε ὅτι τίς ὥσπερ ἐγώ καὶ τίς ἀντιστήσεταί μοι καὶ τίς οὗτος ποιμήν ὃς στήσεται κατὰ πρόσωπόν μου 
49:20	διὰ τοῦτο ἀκούσατε βουλὴν κυρίου ἣν ἐβουλεύσατο ἐπὶ τὴν Ιδουμαίαν καὶ λογισμὸν αὐτοῦ ὃν ἐλογίσατο ἐπὶ τοὺς κατοικοῦντας Θαιμαν ἐὰν μὴ συμψησθῶσιν τὰ ἐλάχιστα τῶν προβάτων ἐὰν μὴ ἀβατωθῇ ἐπ᾽ αὐτὴν κατάλυσις αὐτῶν 
49:21	ὅτι ἀπὸ φωνῆς πτώσεως αὐτῶν ἐσείσθη ἡ γῆ καὶ κραυγή σου ἐν θαλάσσῃ ἠκούσθη 
49:22	ἰδοὺ ὥσπερ ἀετὸς ὄψεται καὶ ἐκτενεῖ τὰς πτέρυγας ἐπ᾽ ὀχυρώματα αὐτῆς καὶ ἔσται ἡ καρδία τῶν ἰσχυρῶν τῆς Ιδουμαίας ἐν τῇ ἡμέρᾳ ἐκείνῃ ὡς καρδία γυναικὸς ὠδινούσης 
49:23	τῇ Δαμασκῷ κατῃσχύνθη Ημαθ καὶ Αρφαδ ὅτι ἤκουσαν ἀκοὴν πονηράν ἐξέστησαν ἐθυμώθησαν ἀναπαύσασθαι οὐ μὴ δύνωνται 
49:24	ἐξελύθη Δαμασκός ἀπεστράφη εἰς φυγήν τρόμος ἐπελάβετο αὐτῆς 
49:25	πῶς οὐχὶ ἐγκατέλιπεν πόλιν ἐμήν κώμην ἠγάπησαν 
49:26	διὰ τοῦτο πεσοῦνται νεανίσκοι ἐν πλατείαις σου καὶ πάντες οἱ ἄνδρες οἱ πολεμισταί σου πεσοῦνται φησὶν κύριος 
49:27	καὶ καύσω πῦρ ἐν τείχει Δαμασκοῦ καὶ καταφάγεται ἄμφοδα υἱοῦ Αδερ 
49:28	τῇ Κηδαρ βασιλίσσῃ τῆς αὐλῆς ἣν ἐπάταξεν Ναβουχοδονοσορ βασιλεὺς Βαβυλῶνος οὕτως εἶπεν κύριος ἀνάστητε καὶ ἀνάβητε ἐπὶ Κηδαρ καὶ πλήσατε τοὺς υἱοὺς Κεδεμ 
49:29	σκηνὰς αὐτῶν καὶ πρόβατα αὐτῶν λήμψονται ἱμάτια αὐτῶν καὶ πάντα τὰ σκεύη αὐτῶν καὶ καμήλους αὐτῶν λήμψονται ἑαυτοῖς καὶ καλέσατε ἐπ᾽ αὐτοὺς ἀπώλειαν κυκλόθεν 
49:30	φεύγετε λίαν βαθύνατε εἰς κάθισιν καθήμενοι ἐν τῇ αὐλῇ ὅτι ἐβουλεύσατο ἐφ᾽ ὑμᾶς βασιλεὺς Βαβυλῶνος βουλὴν καὶ ἐλογίσατο ἐφ᾽ ὑμᾶς λογισμόν 
49:31	ἀνάστηθι καὶ ἀνάβηθι ἐπ᾽ ἔθνος εὐσταθοῦν καθήμενον εἰς ἀναψυχήν οἷς οὔκ εἰσιν θύραι οὐ βάλανοι οὐ μοχλοί μόνοι καταλύουσιν 
49:32	καὶ ἔσονται κάμηλοι αὐτῶν εἰς προνομὴν καὶ πλῆθος κτηνῶν αὐτῶν εἰς ἀπώλειαν καὶ λικμήσω αὐτοὺς παντὶ πνεύματι κεκαρμένους πρὸ προσώπου αὐτῶν ἐκ παντὸς πέραν αὐτῶν οἴσω τὴν τροπὴν αὐτῶν εἶπεν κύριος 
49:33	καὶ ἔσται ἡ αὐλὴ διατριβὴ στρουθῶν καὶ ἄβατος ἕως αἰῶνος οὐ μὴ καθίσῃ ἐκεῖ ἄνθρωπος καὶ οὐ μὴ κατοικήσῃ ἐκεῖ υἱὸς ἀνθρώπου 
49:34	ἐν ἀρχῇ βασιλεύοντος Σεδεκιου τοῦ βασιλέως ἐγένετο ὁ λόγος οὗτος περὶ Αιλαμ 
49:35	τάδε λέγει κύριος συντριβήτω τὸ τόξον Αιλαμ ἀρχὴ δυναστείας αὐτῶν 
49:36	καὶ ἐπάξω ἐπὶ Αιλαμ τέσσαρας ἀνέμους ἐκ τῶν τεσσάρων ἄκρων τοῦ οὐρανοῦ καὶ διασπερῶ αὐτοὺς ἐν πᾶσιν τοῖς ἀνέμοις τούτοις καὶ οὐκ ἔσται ἔθνος ὃ οὐχ ἥξει ἐκεῖ οἱ ἐξωσμένοι Αιλαμ 
49:37	καὶ πτοήσω αὐτοὺς ἐναντίον τῶν ἐχθρῶν αὐτῶν τῶν ζητούντων τὴν ψυχὴν αὐτῶν καὶ ἐπάξω ἐπ᾽ αὐτοὺς κακὰ κατὰ τὴν ὀργὴν τοῦ θυμοῦ μου καὶ ἐπαποστελῶ ὀπίσω αὐτῶν τὴν μάχαιράν μου ἕως τοῦ ἐξαναλῶσαι αὐτούς 
49:38	καὶ θήσω τὸν θρόνον μου ἐν Αιλαμ καὶ ἐξαποστελῶ ἐκεῖθεν βασιλέα καὶ μεγιστᾶνας 
49:39	καὶ ἔσται ἐπ᾽ ἐσχάτου τῶν ἡμερῶν ἀποστρέψω τὴν αἰχμαλωσίαν Αιλαμ λέγει κύριος 
50:1	λόγος κυρίου ὃν ἐλάλησεν ἐπὶ Βαβυλῶνα 
50:2	ἀναγγείλατε ἐν τοῖς ἔθνεσιν καὶ ἀκουστὰ ποιήσατε καὶ μὴ κρύψητε εἴπατε ἑάλωκεν Βαβυλών κατῃσχύνθη Βῆλος ἡ ἀπτόητος ἡ τρυφερὰ παρεδόθη Μαρωδαχ 
50:3	ὅτι ἀνέβη ἐπ᾽ αὐτὴν ἔθνος ἀπὸ βορρᾶ οὗτος θήσει τὴν γῆν αὐτῆς εἰς ἀφανισμόν καὶ οὐκ ἔσται ὁ κατοικῶν ἐν αὐτῇ ἀπὸ ἀνθρώπου καὶ ἕως κτήνους 
50:4	ἐν ταῖς ἡμέραις ἐκείναις καὶ ἐν τῷ καιρῷ ἐκείνῳ ἥξουσιν οἱ υἱοὶ Ισραηλ αὐτοὶ καὶ οἱ υἱοὶ Ιουδα ἐπὶ τὸ αὐτό βαδίζοντες καὶ κλαίοντες πορεύσονται τὸν κύριον θεὸν αὐτῶν ζητοῦντες 
50:5	ἕως Σιων ἐρωτήσουσιν τὴν ὁδόν ὧδε γὰρ τὸ πρόσωπον αὐτῶν δώσουσιν καὶ ἥξουσιν καὶ καταφεύξονται πρὸς κύριον τὸν θεόν διαθήκη γὰρ αἰώνιος οὐκ ἐπιλησθήσεται 
50:6	πρόβατα ἀπολωλότα ἐγενήθη ὁ λαός μου οἱ ποιμένες αὐτῶν ἐξῶσαν αὐτούς ἐπὶ τὰ ὄρη ἀπεπλάνησαν αὐτούς ἐξ ὄρους ἐπὶ βουνὸν ᾤχοντο ἐπελάθοντο κοίτης αὐτῶν 
50:7	πάντες οἱ εὑρίσκοντες αὐτοὺς κατανάλισκον αὐτούς οἱ ἐχθροὶ αὐτῶν εἶπαν μὴ ἀνῶμεν αὐτούς ἀνθ᾽ ὧν ἥμαρτον τῷ κυρίῳ νομῇ δικαιοσύνης τῷ συναγαγόντι τοὺς πατέρας αὐτῶν 
50:8	ἀπαλλοτριώθητε ἐκ μέσου Βαβυλῶνος καὶ ἀπὸ γῆς Χαλδαίων καὶ ἐξέλθατε καὶ γένεσθε ὥσπερ δράκοντες κατὰ πρόσωπον προβάτων 
50:9	ὅτι ἰδοὺ ἐγὼ ἐγείρω ἐπὶ Βαβυλῶνα συναγωγὰς ἐθνῶν ἐκ γῆς βορρᾶ καὶ παρατάξονται αὐτῇ ἐκεῖθεν ἁλώσεται ὡς βολὶς μαχητοῦ συνετοῦ οὐκ ἐπιστρέψει κενή 
50:10	καὶ ἔσται ἡ Χαλδαία εἰς προνομήν πάντες οἱ προνομεύοντες αὐτὴν ἐμπλησθήσονται 
50:11	ὅτι ηὐφραίνεσθε καὶ κατεκαυχᾶσθε διαρπάζοντες τὴν κληρονομίαν μου διότι ἐσκιρτᾶτε ὡς βοΐδια ἐν βοτάνῃ καὶ ἐκερατίζετε ὡς ταῦροι 
50:12	ᾐσχύνθη ἡ μήτηρ ὑμῶν σφόδρα μήτηρ ἐπ᾽ ἀγαθὰ ἐσχάτη ἐθνῶν ἔρημος 
50:13	ἀπὸ ὀργῆς κυρίου οὐ κατοικηθήσεται καὶ ἔσται εἰς ἀφανισμὸν πᾶσα καὶ πᾶς ὁ διοδεύων διὰ Βαβυλῶνος σκυθρωπάσει καὶ συριοῦσιν ἐπὶ πᾶσαν τὴν πληγὴν αὐτῆς 
50:14	παρατάξασθε ἐπὶ Βαβυλῶνα κύκλῳ πάντες τείνοντες τόξον τοξεύσατε ἐπ᾽ αὐτήν μὴ φείσησθε ἐπὶ τοῖς τοξεύμασιν ὑμῶν 
50:15	κατακροτήσατε ἐπ᾽ αὐτήν παρελύθησαν αἱ χεῖρες αὐτῆς ἔπεσαν αἱ ἐπάλξεις αὐτῆς καὶ κατεσκάφη τὸ τεῖχος αὐτῆς ὅτι ἐκδίκησις παρὰ θεοῦ ἐστιν ἐκδικεῖτε ἐπ᾽ αὐτήν καθὼς ἐποίησεν ποιήσατε αὐτῇ 
50:16	ἐξολεθρεύσατε σπέρμα ἐκ Βαβυλῶνος κατέχοντα δρέπανον ἐν καιρῷ θερισμοῦ ἀπὸ προσώπου μαχαίρας Ἑλληνικῆς ἕκαστος εἰς τὸν λαὸν αὐτοῦ ἀποστρέψουσιν καὶ ἕκαστος εἰς τὴν γῆν αὐτοῦ φεύξεται 
50:17	πρόβατον πλανώμενον Ισραηλ λέοντες ἐξῶσαν αὐτόν ὁ πρῶτος ἔφαγεν αὐτὸν βασιλεὺς Ασσουρ καὶ οὗτος ὕστερον τὰ ὀστᾶ αὐτοῦ βασιλεὺς Βαβυλῶνος 
50:18	διὰ τοῦτο τάδε λέγει κύριος ἰδοὺ ἐγὼ ἐκδικῶ ἐπὶ τὸν βασιλέα Βαβυλῶνος καὶ ἐπὶ τὴν γῆν αὐτοῦ καθὼς ἐξεδίκησα ἐπὶ τὸν βασιλέα Ασσουρ 
50:19	καὶ ἀποκαταστήσω τὸν Ισραηλ εἰς τὴν νομὴν αὐτοῦ καὶ νεμήσεται ἐν τῷ Καρμήλῳ καὶ ἐν ὄρει Εφραιμ καὶ ἐν τῷ Γαλααδ καὶ πλησθήσεται ἡ ψυχὴ αὐτοῦ 
50:20	ἐν ταῖς ἡμέραις ἐκείναις καὶ ἐν τῷ καιρῷ ἐκείνῳ ζητήσουσιν τὴν ἀδικίαν Ισραηλ καὶ οὐχ ὑπάρξει καὶ τὰς ἁμαρτίας Ιουδα καὶ οὐ μὴ εὑρεθῶσιν ὅτι ἵλεως ἔσομαι τοῖς ὑπολελειμμένοις ἐπὶ τῆς γῆς λέγει κύριος 
50:21	πικρῶς ἐπίβηθι ἐπ᾽ αὐτὴν καὶ ἐπὶ τοὺς κατοικοῦντας ἐπ᾽ αὐτήν ἐκδίκησον μάχαιρα καὶ ἀφάνισον λέγει κύριος καὶ ποίει κατὰ πάντα ὅσα ἐντέλλομαί σοι 
50:22	φωνὴ πολέμου καὶ συντριβὴ μεγάλη ἐν γῇ Χαλδαίων 
